batch_idx,model,acc,f1,precision,recall,bac,mcc,f1_ema
22,ensemble,0.953,0.950836820083682,0.9967105263157895,0.909,0.9530000000000001,0.9095285390314554,0.9500244051943392
23,rf,0.6475,0.456437933693138,0.9966329966329966,0.296,0.6475,0.41479782198793597,0.46083342239299674
23,xgb,0.9655,0.9643041903776514,0.9989281886387996,0.932,0.9655,0.9330966911816468,0.9625708259363546
23,sgd_static,0.9475,0.945284002084419,0.9869423286180631,0.907,0.9475,0.8979505745039239,0.943737182362985
23,sgd_adaptive,0.9945,0.9945137157107232,0.9920398009950249,0.997,0.9944999999999999,0.9890123627318017,0.9894615917199903
23,ensemble,0.9565,0.9546165884194053,0.9978189749182116,0.915,0.9565,0.9161611708886173,0.9516316693231124
24,rf,0.6445,0.4492641363284276,0.9965635738831615,0.29,0.6445,0.4098078912447015,0.4567841722703976
24,xgb,0.9625,0.9610793980280228,0.9989212513484358,0.926,0.9625,0.9274745570898574,0.9620488261684385
24,sgd_static,0.948,0.9455497382198953,0.9923076923076923,0.903,0.948,0.8996509948258705,0.9443715769129035
24,sgd_adaptive,0.9965,0.9964982491245623,0.996996996996997,0.996,0.9964999999999999,0.9930004965003724,0.9919244218115906
24,ensemble,0.9555,0.9534275248560963,1.0,0.911,0.9555,0.9146295922900951,0.9522602187596568
25,rf,0.6355,0.4291307752545027,0.9891696750902527,0.274,0.6355,0.3922715103602943,0.4471054833148344
25,xgb,0.9605,0.9591731266149871,0.9925133689839573,0.928,0.9605,0.9229517994466614,0.9610423313247305
25,sgd_static,0.9445,0.9419759539989545,0.9868565169769989,0.901,0.9445,0.8923836407441618,0.9435331088930214
25,sgd_adaptive,0.9965,0.9965017491254373,0.996003996003996,0.997,0.9964999999999999,0.9930004965003724,0.9935264863714369
25,ensemble,0.9525,0.9503916449086162,0.994535519125683,0.91,0.9525,0.9082871354284283,0.9516062179117927
26,rf,0.643,0.4482225656877898,0.9863945578231292,0.29,0.643,0.4038339756381775,0.4474964621453688
26,xgb,0.957,0.9555325749741469,0.9892933618843683,0.924,0.9570000000000001,0.9159972192891347,0.9591139166020264
26,sgd_static,0.945,0.9429460580912863,0.9795258620689655,0.909,0.9450000000000001,0.8923158880727446,0.9433276411124142
26,sgd_adaptive,0.997,0.9970059880239521,0.9950199203187251,0.999,0.997,0.9940079520954253,0.9947443119498173
26,ensemble,0.955,0.9531737773152965,0.9934924078091106,0.916,0.9550000000000001,0.9127809157717967,0.952154863703019
27,rf,0.6485,0.4588144726712856,0.9966555183946488,0.298,0.6485,0.4164555923406265,0.45145776582943975
27,xgb,0.9605,0.959130884635282,0.9935691318327974,0.927,0.9605,0.9230741703311458,0.959119855413666
27,sgd_static,0.943,0.940563086548488,0.9825708061002179,0.902,0.9430000000000001,0.8889938384155637,0.9423600470150401
27,sgd_adaptive,0.9985,0.9985007496251874,0.998001998001998,0.999,0.9984999999999999,0.9970004985003739,0.9960590651361969
27,ensemble,0.954,0.9520833333333333,0.9934782608695653,0.914,0.954,0.9109196216823203,0.9521298280736291
28,rf,0.651,0.4647239263803681,0.9967105263157895,0.303,0.651,0.42058833869412215,0.4561009220222647
28,xgb,0.9585,0.9568382735309412,0.9967497291440953,0.92,0.9585,0.9197305947895259,0.9583213017547123
28,sgd_static,0.95,0.9481327800829875,0.9849137931034483,0.914,0.95,0.9023419092870452,0.9443805035888218
28,sgd_adaptive,0.998,0.998,0.998,0.998,0.998,0.996,0.996738392338528
28,ensemble,0.958,0.9562955254942768,0.9967462039045553,0.919,0.958,0.9187992514801822,0.9535878221708558
29,rf,0.6495,0.4611837048424289,0.9966777408637874,0.3,0.6495,0.4181106703825961,0.4578798960093222
29,xgb,0.9585,0.956927867151012,0.9946062567421791,0.922,0.9585,0.9194531555150263,0.9578335996434172
29,sgd_static,0.946,0.9435736677115988,0.9879649890590809,0.903,0.946,0.8953170269307711,0.9440981110317939
29,sgd_adaptive,0.996,0.9960079840319361,0.9940239043824701,0.998,0.996,0.9920079360952333,0.996482749431221
29,ensemble,0.954,0.9519832985386222,0.9956331877729258,0.912,0.954,0.9112204768199874,0.953026238899574
